,hu_aq_finfishaquaculture_opennetpens_d,hu_aq_shellfishaquaculture_beachseeding_d,hu_aq_shellfishaquaculture_offbottom_d,hu_co_demersalfishing_bottomlongline_d,hu_co_demersalfishing_bottomtrawling_d,hu_co_demersalfishing_shrimptrawling_d,hu_co_demersalfishing_pressurehose_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,hu_co_demersalfishing_inverttrapcom_d_PRAWN,hu_co_demersalfishing_sabletrapcom_d,hu_co_intertidalhandpickingdigging_intertidalhandpickdigcom_d,hu_co_pelagicfishing_gillnetscom_d_HERRING,hu_co_pelagicfishing_gillnetscom_d_SALMON,hu_co_pelagicfishing_pelagicandmidwatertrawls_d,hu_co_pelagicfishing_purseseine_d_HERRING,hu_co_pelagicfishing_purseseine_d_SALMON,hu_co_pelagicfishing_salmontrollcom_d,hu_co_pelagicfishing_trollingrodandreelcomTUNA_d,hu_co_scubadivefishing_scubadivefishingcom_d_GSU,hu_co_scubadivefishing_scubadivefishingcom_d_RSU,hu_rf_demersalfishing_hookandlinerec_d,hu_rf_demersalfishing_traprec_d_CRAB,hu_rf_demersalfishing_traprec_d_PRAWN,hu_rf_intertidalhandpickingdigging_intertidalhandpickdigrec_d,hu_rf_pelagicfishing_trollingrodandreelrec_d,hu_rf_scubadivefishing_scubadivefishingrec_d_ALL,hu_rf_scubadivefishing_scubadivefishingrec_d_RSU,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,hu_ma_tidalcurrent_tidalstream_d,hu_ma_windpower_windturbinesinshallowtransitionaldeepwaters_d,hu_ot_dischargesanddisposal_pulpandpapermills_d,hu_ot_dischargesanddisposal_sewageeffluentfromterrestrial_d,hu_ot_dischargesanddisposal_terrestrialminerunoff_d,hu_ot_dredging_dredging_d,hu_ot_underwaterinfrastructure_seafloorelectricalcommscables_d,hu_ot_underwaterinfrastructure_seafloorpipelinesfortransoil_d,hu_tr_largevesselscargoandcruiseships_largevesselscargo_d,hu_ih_indigenousharvest_foodsocialceremonial
S2_NVI_1,X,na,X,X,X,X,X,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,O,X,X,X,X,X,X,X,X,X,O
S2_NVI_2,X,na,X,X,X,X,X,X,X,X,na,X,X,X,X,X,X,X,na,na,X,X,X,na,X,na,na,O,X,X,X,X,X,X,X,X,X,O
S2_NVI_3,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_NVI_4,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_NVI_5,O,O,O,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X
S2_NVI_6,X,X,X,X,na,na,O,O,O,X,O,O,O,O,O,O,X,X,O,O,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_10,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
S2_NVI_11,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
S2_NVI_12,X,X,O,O,X,X,O,O,O,O,X,O,O,O,X,X,X,X,O,O,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
S2_NVI_15,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
S2_NVI_16,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
