cp,section_region,area_overlap
eco_areas_highrugosity_polygons_d,CC,3615046950.385253
eco_areas_highrugosity_polygons_d,HG,10027444229.952015
eco_areas_highrugosity_polygons_d,NC,3151361733.4496975
eco_areas_highrugosity_polygons_d,NVI,4484033533.037847
eco_areas_highrugosity_polygons_d,Continental Slope,9764355571.820831
eco_areas_highrugosity_polygons_d,Dixon Entrance,719168957.0491445
eco_areas_highrugosity_polygons_d,Hecate Strait,1016706324.0203079
eco_areas_highrugosity_polygons_d,Johnstone Strait,1256368103.250431
eco_areas_highrugosity_polygons_d,North Coast Fjords,3784237531.728705
eco_areas_highrugosity_polygons_d,Queen Charlotte Sound,1482774610.5055823
eco_areas_highrugosity_polygons_d,Queen Charlotte Strait,818177849.3218412
eco_areas_highrugosity_polygons_d,Strait of Georgia,40052015.7849795
eco_areas_highrugosity_polygons_d,Subarctic Pacific,794532389.047038
eco_areas_highrugosity_polygons_d,Transitional Pacific,1372161894.4538052
eco_areas_highrugosity_polygons_d,Vancouver Island Shelf,202893448.7168813
eco_birds_ancientmurrelet_coloniesri1_d,HG,1843430947.8491895
eco_birds_ancientmurrelet_coloniesri1_d,Continental Slope,535086095.0485901
eco_birds_ancientmurrelet_coloniesri1_d,Dixon Entrance,88450810.93373077
eco_birds_ancientmurrelet_coloniesri1_d,Hecate Strait,1060864627.8301399
eco_birds_ancientmurrelet_coloniesri1_d,Queen Charlotte Sound,159029408.39556456
eco_birds_ancientmurrelet_coloniesri2_d,HG,317543290.6481658
eco_birds_ancientmurrelet_coloniesri2_d,Continental Slope,60581798.720706835
eco_birds_ancientmurrelet_coloniesri2_d,Hecate Strait,255755196.42621318
eco_birds_ancientmurrelet_coloniesri2_d,Queen Charlotte Sound,1206295.4981401025
eco_coarse_bottompatches_polygonshard_d,CC,840702325.6899518
eco_coarse_bottompatches_polygonshard_d,HG,913650589.3049427
eco_coarse_bottompatches_polygonshard_d,NC,1600996048.8125973
eco_coarse_bottompatches_polygonshard_d,NVI,841742752.8369143
eco_coarse_bottompatches_polygonshard_d,Continental Slope,196362718.13206613
eco_coarse_bottompatches_polygonshard_d,Dixon Entrance,457536501.67301154
eco_coarse_bottompatches_polygonshard_d,Hecate Strait,880913116.1393921
eco_coarse_bottompatches_polygonshard_d,Johnstone Strait,208465754.78636152
eco_coarse_bottompatches_polygonshard_d,North Coast Fjords,882293099.9843923
eco_coarse_bottompatches_polygonshard_d,Queen Charlotte Sound,1152687744.5148547
eco_coarse_bottompatches_polygonshard_d,Queen Charlotte Strait,253617119.2658798
eco_coarse_bottompatches_polygonshard_d,Strait of Georgia,6573812.287961583
eco_coarse_bottompatches_polygonshard_d,Vancouver Island Shelf,215097893.2518287
eco_coarse_coastalclasses_linessandbeach_d,CC,20186.90129687466
eco_coarse_coastalclasses_linessandbeach_d,HG,150718.83766099386
eco_coarse_coastalclasses_linessandbeach_d,NC,42631.42573889784
eco_coarse_coastalclasses_linessandbeach_d,NVI,73128.47808790434
eco_coarse_coastalclasses_linessandbeach_d,Continental Slope,23141.430709412547
eco_coarse_coastalclasses_linessandbeach_d,Dixon Entrance,82154.55227866245
eco_coarse_coastalclasses_linessandbeach_d,Hecate Strait,50816.58367025091
eco_coarse_coastalclasses_linessandbeach_d,Johnstone Strait,9432.194204280086
eco_coarse_coastalclasses_linessandbeach_d,North Coast Fjords,40142.63719801045
eco_coarse_coastalclasses_linessandbeach_d,Queen Charlotte Sound,42128.744676560666
eco_coarse_coastalclasses_linessandbeach_d,Queen Charlotte Strait,9751.141344309915
eco_coarse_coastalclasses_linessandbeach_d,Vancouver Island Shelf,28400.752930726616
eco_coarse_ecosections_polygonsncf_d,CC,3198821819.0621676
eco_coarse_ecosections_polygonsncf_d,NC,6001019019.000854
