species.name,dataset,dataset.name,Sub.Activity,UID,Consequence.Score
Estuaries,eco_areas_estuaries_polygons_d,estuaries,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Negligible
Brandt's cormorant,eco_birds_brandtscormorant_colonies_d,brandtscormorant,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Unspecified Cormorant  ,eco_birds_cormorant_density_m,cormorant,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Unspecified Cormorant  ,eco_birds_cormorant_densitywinter_m,cormorant,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Marbled Murrelet,eco_birds_mamu_density_d,mamu,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Marbled Murrelet,eco_birds_mamu_densitywinter_d,mamu,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Pelagic cormorant,eco_birds_pelagiccormorant_colonies_d,pelagiccormorant,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Bottom Patches,eco_coarse_bottompatches_polygonssoft_d,bottompatches,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Butter clams,eco_inverts_clambutter_records_d,clambutter,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Negligible
Horse clam,eco_inverts_clamhorse_records_d,clamhorse,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Negligible
Littleneck clam,eco_inverts_clamlittleneck_records_d,clamlittleneck,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Razor clam,eco_inverts_clamrazor_ia_d,clamrazor,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Cockles,eco_inverts_cockle_records_d,cockle,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Geoduck,eco_inverts_geoduck_records_d,geoduck,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Negligible
Phytoplankton,eco_plants_chlorophylla_bloom_d,chlorophylla,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Phytoplankton,eco_plants_chlorophylla_concentration_d,chlorophylla,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
