UID,name,subregion,ecosection,CP,proportion_scaled,proportion_unscaled,value_scaled,value_unscaled,total_value,Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,featuretype for SS,attributetype,datatype,featurename for SS analysis,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval,Replication method,Replication_All species_areas,Replication_All species_Seabirds,Replication_All species_fish,Replication_All species_invertebrates,Replication_All species_plants and algae,Replication_All species_marine mammals_reptiles,Replication_Habitat classes_Biophysical units,Replication_Habitat classes_Bottom patches,Replication_Habitat classes_Ecosections,Replication_Habitat classes_Geomorphic units,Replication_Habitat classes_Ocean regions,Replication_Habitat classes_EBSAs,Conservation_concern_features,Habitat_feature_count_metric,Species_feature_count_metric,Ecological Intactness_upper predator,Ecological Intactness_mammals,Ecological Intactness_forage species,Ecological Intactness_habitat forming,Ecological Intactness_Bird species,Ecological Intactness_nutrient exchangers,significant_area_feature_count ,scaled_updated_2020Sep3
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_loongrebe_densitywinter_d,0.0008228961662103427,0.0009681131367180503,3.5591020761665004,4.18717891313706,4325.0925478935205,eco_birds_loongrebe_densitywinter_d,eco_birds_loongrebe_densitywinter_d,5290200,eco,birds,loongrebe,densitywinter,density in winter,,d,Loon/Grebe,0.1,0.15,0.2,,,Loon/Grebe,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_coarse_coastalclasses_linesrockcliff_d,0.0003471124271552965,0.0003471124271552965,2147.8729335085395,2147.8729335085395,6187830.70116816,eco_coarse_coastalclasses_lines_d_rockcliff,eco_coarse_coastalclasses_linesrockcliff_d,3090700,eco,coarse,coastalclasses,lines,Coastal Classes,rockcliff,d,Rock Cliff,0.008643999999999999,0.017287999999999998,0.025932,,,Coastal Classes,no,do not assess,,,,,,,,,,,,,,1.0,,,,,,,,,
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_fish_salmonpinkodd_diversity_d,0.004225537935520743,0.004971221100612639,0.03091386193531423,0.0363692493356638,7.315958916247309,eco_fish_salmonpinkodd_diversity_d,eco_fish_salmonpinkodd_diversity_d,6590500,eco,fish,salmonpinkodd,diversity,diversity hotspot,,d,Pink Salmon (odd),0.2,0.3,0.4,,,Pink salmon (odd),no,Density,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_fish_salmonchum_diversity_d,0.002822320241826675,0.003320376755090206,0.046370792902971344,0.0545538740034957,16.4300252734463,eco_fish_salmonchum_diversity_d,eco_fish_salmonchum_diversity_d,6590300,eco,fish,salmonchum,diversity,diversity hotspot,,d,Chum Salmon,0.2,0.3,0.4,,,Chum salmon,no,Density,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_inverts_dungeness_records_d,0.0009154270055487518,0.0010769729477044141,5695508.774104985,6700598.55777057,6221696257.1372,eco_inverts_dungeness_records_d,eco_inverts_dungeness_records_d,7240200,eco,inverts,dungeness,records,records,,d,Dungeness crab ,0.1,0.15,0.2,,,Dungeness crab ,no,Point,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_cormorant_density_m,0.0,0.0,0.0,0.0,6742.00041294098,eco_birds_cormorant_density_m,eco_birds_cormorant_density_m,5300100,eco,birds,cormorant,density,density - yr round,,m,Double-crested cormorant,0.1,0.15,0.2,,,Double-crested cormorant,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_loongrebe_density_d,0.00018918144855010157,0.00022256641005894302,3.2404736049858607,3.8123218882186602,17128.9184527397,eco_birds_loongrebe_density_d,eco_birds_loongrebe_density_d,5290100,eco,birds,loongrebe,density,density - yr round,,d,Loon/Grebe,0.1,0.15,0.2,,,Loon/Grebe,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_inverts_octopusgiantpacific_records_d,0.001204121088821543,0.001416613045672404,10212291.521335343,12014460.613335699,8481116738.29247,eco_inverts_octopusgiantpacific_records_d,eco_inverts_octopusgiantpacific_records_d,7140100,eco,inverts,octopusgiantpacific,records,records,,d,Giant Pacific octopus,0.2,0.3,0.4,,,Giant pacific octopus,no,Point,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_gull_density_m,0.0,0.0,0.0,0.0,5719.24769496918,eco_birds_gull_density_m,eco_birds_gull_density_m,5260100,eco,birds,gull,density,density - yr round,,m,Gulls,0.1,0.15,0.2,,,Gulls,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_coarse_ecosections_polygonsjs_d,0.007827960150040116,0.007827960150040116,15783285.416260699,15783285.416260699,2016270537.11813,eco_coarse_ecosections_polygons_d_js,eco_coarse_ecosections_polygonsjs_d,3060100,eco,coarse,ecosections,polygons,Ecosections,js,d,Johnstone Strait,0.07142000000000001,0.14284000000000002,0.21425999999999998,,,Ecosections,no,Area,,,,,,,,,1.0,,,,,1.0,,,,,,,,,
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_fish_salmonsockeye_diversity_d,0.0048336241034454466,0.005686616592288761,0.0219651124277233,0.025841308738498,4.54423264152179,eco_fish_salmonsockeye_diversity_d,eco_fish_salmonsockeye_diversity_d,6590700,eco,fish,salmonsockeye,diversity,diversity hotspot,,d,Sockeye Salmon,0.2,0.3,0.4,,,Sockeye salmon,no,Density,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_areas_estuaries_polygons_d,0.00033215807927486097,0.00033215807927486097,104847.668318889,104847.668318889,315655932.704643,eco_areas_estuaries_polygons_d,eco_areas_estuaries_polygons_d,3010700,eco,areas,estuaries,polygons,polygons,,d,Estuaries,0.2,0.4,0.6,,,Estuaries,no,Area,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_smallalcid_densitywinter_d,0.0,0.0,0.0,0.0,342.535910129547,eco_birds_smallalcid_densitywinter_d,eco_birds_smallalcid_densitywinter_d,5240200,eco,birds,smallalcid,densitywinter,density in winter,,d,Small Alcids,0.1,0.15,0.2,,,Small Alcids,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_mamu_density_d,0.0006007315008462617,0.0007067429421720727,9.410911179965144,11.0716602117237,15665.7527809143,eco_birds_mamu_density_d,eco_birds_mamu_density_d,5310100,eco,birds,mamu,density,density - yr round,,d,Marbled Murrelet,0.1,0.15,0.2,,,Marbled Murrelet,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_cormorant_densitywinter_m,0.0,0.0,0.0,0.0,2173.8053808212303,eco_birds_cormorant_densitywinter_m,eco_birds_cormorant_densitywinter_m,5300200,eco,birds,cormorant,densitywinter,density in winter,,m,Unspecified Cormorant  ,0.1,0.15,0.2,,,Unspecified Cormorant  ,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_puffin_density_d,0.0,0.0,0.0,0.0,2399.66238021851,eco_birds_puffin_density_d,eco_birds_puffin_density_d,5230100,eco,birds,puffin,density,density - yr round,,d,Puffins,0.1,0.15,0.2,,,Puffins,no,Density,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_birds_pigeonguillemot_density_m,0.0,0.0,0.0,0.0,6389.479493618011,eco_birds_pigeonguillemot_density_m,eco_birds_pigeonguillemot_density_m,5320100,eco,birds,pigeonguillemot,density,density - yr round,,m,Pigeon Guillemot,0.1,0.15,0.2,,,Pigeon Guillemot,no,Density,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_coarse_oceanreg_polygonsmainlandfjords_d,0.0016686636692146762,0.0016686636692146762,15783178.4805945,15783178.4805945,9458573810.75633,eco_coarse_oceanreg_polygons_d_mainlandfjords,eco_coarse_oceanreg_polygonsmainlandfjords_d,3080200,eco,coarse,oceanreg,polygons,Upper Ocean Subregion,mainlandfjords,d,Mainland Fjords,0.045899,0.091798,0.137697,,,ocean reg,no,Area,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
S2_NVI_15,Nala_gla_la_1_S2MFN,NVI,Johnstone Strait,eco_coarse_coastalclasses_linesrockramp_d,0.0001222515716608605,0.0001222515716608605,1265.54487255418,1265.54487255418,10351972.2107536,eco_coarse_coastalclasses_lines_d_rockramp,eco_coarse_coastalclasses_linesrockramp_d,3090900,eco,coarse,coastalclasses,lines,Coastal Classes,rockramp,d,Rock Ramp,0.006569,0.013138,0.019707,,,Coastal Classes,no,do not assess,,,,,,,,,,,,,,1.0,,,,,,,,,
