UID,name,subregion,ecosection,CP,proportion_scaled,proportion_unscaled,value_scaled,value_unscaled,total_value
S2_CC_130,pmz_056_CC_SC2CC,CC,North Coast Fjords,eco_plants_eelgrass_polygons_d,0.0,0.0035058592493318885,0.0,378580.408809564,107985056.411409
S2_CC_130,pmz_056_CC_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,9.037740786492253e-05,9.037740786492253e-05,55156831.67515362,55156831.67515362,610294463828.733
S2_HG_400,pmz_204_HG,HG,Dixon Entrance,eco_plants_eelgrass_polygons_d,0.0,0.015379607334331632,0.0,1660767.765583121,107985056.411409
S2_HG_400,pmz_204_HG,HG,Dixon Entrance,eco_coarse_ecosections_polygons_d,8.039237153887742e-06,8.039237153887742e-06,4906301.9284239495,4906301.9284239495,610294463828.733
S2_NVI_613,Menzies_Bay_RCA,NVI,Johnstone Strait,eco_plants_eelgrass_polygons_d,0.0,0.0009081876955055168,0.0,98070.69953131078,107985056.411409
S2_NVI_613,Menzies_Bay_RCA,NVI,Johnstone Strait,eco_coarse_ecosections_polygons_d,6.28855047645544e-06,6.28855047645544e-06,3837867.541288296,3837867.541288296,610294463828.733
S2_NVI_630,Belleisle_Sound_RCA,NVI,Johnstone Strait,eco_plants_eelgrass_polygons_d,0.0,0.0002088198487136262,0.0,22549.423143162818,107985056.411409
S2_NVI_630,Belleisle_Sound_RCA,NVI,Johnstone Strait,eco_coarse_ecosections_polygons_d,9.301978740284935e-07,9.301978740284935e-07,567694.6127848468,567694.6127848468,610294463828.733
S2_NVI_630,Belleisle_Sound_RCA,NVI,Queen Charlotte Strait,eco_plants_eelgrass_polygons_d,0.0,0.0006143030116241531,0.0,66335.54536393262,107985056.411409
S2_NVI_630,Belleisle_Sound_RCA,NVI,Queen Charlotte Strait,eco_coarse_ecosections_polygons_d,7.3062456557143145e-06,7.3062456557143145e-06,4458961.2750551775,4458961.2750551775,610294463828.733
S2_NVI_690,BrooksBay_RCA,NVI,Vancouver Island Shelf,eco_plants_eelgrass_polygons_d,0.0,0.005817103491613901,0.0,628160.2486929314,107985056.411409
S2_NVI_690,BrooksBay_RCA,NVI,Vancouver Island Shelf,eco_plants_bullkelp_polygons_d,0.0009433997204963215,0.0009433997204963215,104166.42198044437,104166.42198044437,110415998.348656
S2_NVI_690,BrooksBay_RCA,NVI,Vancouver Island Shelf,eco_coarse_ecosections_polygons_d,9.402547730479058e-05,9.402547730479058e-05,57383228.257967874,57383228.257967874,610294463828.733
S2_CC_122,pmz_058_CC_SC2CC,CC,North Coast Fjords,eco_plants_eelgrass_polygons_d,0.014600700308447255,0.01717729448052618,1576657.4464537536,1854891.1134750042,107985056.411409
S2_CC_122,pmz_058_CC_SC2CC,CC,North Coast Fjords,eco_plants_bullkelp_polygons_d,0.0004676865600241448,0.0004676865600241448,51640.07843931458,51640.07843931458,110415998.348656
S2_CC_122,pmz_058_CC_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,7.448967656153195e-05,7.448967656153195e-05,45460637.21789588,45460637.21789588,610294463828.733
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_plants_eelgrass_polygons_d,0.005751372884700341,0.0067663210408239315,621062.3253974145,730661.5592910759,107985056.411409
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_plants_bullkelp_polygons_d,6.244545677366335e-06,6.244545677366335e-06,689.4977452001882,689.4977452001882,110415998.348656
S2_CC_122,pmz_058_CC_SC2CC,CC,Queen Charlotte Sound,eco_coarse_ecosections_polygons_d,1.9272385716821385e-05,1.9272385716821385e-05,11761830.30774804,11761830.30774804,610294463828.733
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_plants_eelgrass_polygons_d,0.011468116881088477,0.011468116881088477,1238385.248336971,1238385.248336971,107985056.411409
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_plants_bullkelp_polygons_d,0.0007061473587099229,0.0007061473587099229,77969.96559322265,77969.96559322265,110415998.348656
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,2.7676047297464624e-05,2.7676047297464624e-05,16890538.446304828,16890538.446304828,610294463828.733
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_plants_eelgrass_polygons_d,0.027766370570262495,0.027766370570262495,2998353.0923698824,2998353.0923698824,107985056.411409
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_plants_bullkelp_polygons_d,0.10353623604800329,0.10353623604800329,11432056.868502388,11432056.868502388,110415998.348656
S2_CC_151,CC_prelim_7_1_Goose_Group_PMZ_SC2CC,CC,Queen Charlotte Sound,eco_coarse_ecosections_polygons_d,0.0005126952918846125,0.0005126952918846125,312895098.2682353,312895098.2682353,610294463828.733
