UID,name,subregion,ecosection,CP,proportion_scaled,proportion_unscaled,value_scaled,value_unscaled,total_value,Gridded_UID,Desktop_UID,marxancode,section,speciesgroup,species,featuretype,featuretype for SS,attributetype,datatype,featurename for SS analysis,final_target_low,final_target_med,final_target_high,Issue,Tracked,species name,postremoval,Replication method,Replication_All species_areas,Replication_All species_Seabirds,Replication_All species_fish,Replication_All species_invertebrates,Replication_All species_plants and algae,Replication_All species_marine mammals_reptiles,Replication_Habitat classes_Biophysical units,Replication_Habitat classes_Bottom patches,Replication_Habitat classes_Ecosections,Replication_Habitat classes_Geomorphic units,Replication_Habitat classes_Ocean regions,Replication_Habitat classes_EBSAs,Conservation_concern_features,Habitat_feature_count_metric,Species_feature_count_metric,Ecological Intactness_upper predator,Ecological Intactness_mammals,Ecological Intactness_forage species,Ecological Intactness_habitat forming,Ecological Intactness_Bird species,Ecological Intactness_nutrient exchangers,significant_area_feature_count ,scaled_updated_2020Sep3
S2_CC_130,pmz_056_CC_SC2CC,CC,North Coast Fjords,eco_plants_eelgrass_polygons_d,0.0,0.0035058592493318,0.0,378580.408809564,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_CC_130,pmz_056_CC_SC2CC,CC,North Coast Fjords,eco_coarse_ecosections_polygons_d,9.037740786492252e-05,9.037740786492252e-05,55156831.67515362,55156831.67515362,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_HG_400,pmz_204_HG,HG,Dixon Entrance,eco_plants_eelgrass_polygons_d,0.0,0.0153796073343316,0.0,1660767.765583121,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_HG_400,pmz_204_HG,HG,Dixon Entrance,eco_coarse_ecosections_polygons_d,8.039237153887742e-06,8.039237153887742e-06,4906301.9284239495,4906301.9284239495,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_NVI_613,Menzies_Bay_RCA,NVI,Johnstone Strait,eco_plants_eelgrass_polygons_d,0.0,0.0009081876955055,0.0,98070.69953131078,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_NVI_613,Menzies_Bay_RCA,NVI,Johnstone Strait,eco_coarse_ecosections_polygons_d,6.28855047645544e-06,6.28855047645544e-06,3837867.541288296,3837867.541288296,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_NVI_630,Belleisle_Sound_RCA,NVI,Johnstone Strait,eco_plants_eelgrass_polygons_d,0.0,0.0002088198487136,0.0,22549.423143162818,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_NVI_630,Belleisle_Sound_RCA,NVI,Johnstone Strait,eco_coarse_ecosections_polygons_d,9.301978740284936e-07,9.301978740284936e-07,567694.6127848468,567694.6127848468,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S2_NVI_630,Belleisle_Sound_RCA,NVI,Queen Charlotte Strait,eco_plants_eelgrass_polygons_d,0.0,0.0006143030116241,0.0,66335.54536393262,107985056.411409,eco_plants_eelgrass_polygons_d,eco_plants_eelgrass_polygons_d,4040100,eco,plants,eelgrass,polygons,Distribution,,d,Eelgrass,0.2,0.3,0.4,,,Eelgrass,no,Area,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,1.0,1.0
S2_NVI_630,Belleisle_Sound_RCA,NVI,Queen Charlotte Strait,eco_coarse_ecosections_polygons_d,7.306245655714314e-06,7.306245655714314e-06,4458961.2750551775,4458961.2750551775,610294463828.733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
