mpa,type,cp_hu,percent_area_overlap
S2_CC_122,cp,eco_plants_eelgrass_polygons_d,0.045184221938262756
S2_CC_122,cp,eco_plants_bullkelp_polygons_d,0.0009144935275005564
S2_CC_122,cp,eco_coarse_ecosections_polygons_d,0.9999999999101346
S2_CC_130,cp,eco_plants_eelgrass_polygons_d,0.006863708398611705
S2_CC_130,cp,eco_coarse_ecosections_polygons_d,1.0
S2_CC_130,hu,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,0.08344562001254578
S2_CC_151,cp,eco_plants_eelgrass_polygons_d,0.012846946225187157
S2_CC_151,cp,eco_plants_bullkelp_polygons_d,0.034901540736503735
S2_CC_151,cp,eco_coarse_ecosections_polygons_d,1.0000000000009326
S2_HG_400,cp,eco_plants_eelgrass_polygons_d,0.3384968536000003
S2_HG_400,cp,eco_coarse_ecosections_polygons_d,1.0
S2_HG_400,hu,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,0.0920797531475849
S2_NVI_613,cp,eco_plants_eelgrass_polygons_d,0.02555343520229736
S2_NVI_613,cp,eco_coarse_ecosections_polygons_d,0.9999999999999999
S2_NVI_613,hu,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,0.8961391834186453
S2_NVI_630,cp,eco_plants_eelgrass_polygons_d,0.017682723922813687
S2_NVI_630,cp,eco_coarse_ecosections_polygons_d,0.9999999978912704
S2_NVI_630,hu,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,0.5118553640171286
S2_NVI_690,cp,eco_plants_eelgrass_polygons_d,0.010946756879362377
S2_NVI_690,cp,eco_plants_bullkelp_polygons_d,0.0018152764342947276
S2_NVI_690,cp,eco_coarse_ecosections_polygons_d,1.0
S2_NVI_690,hu,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,0.021815958690610145
