mpa,cp,hu,score,contribute
S2_CC_130,eco_plants_eelgrass_polygons_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,HIGH,yes
S2_CC_130,eco_plants_eelgrass_polygons_d,hu_ih_indigenousharvest_foodsocialceremonial,MODERATE,yes
S2_HG_400,eco_plants_eelgrass_polygons_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,HIGH,yes
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,HIGH,yes
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_aq_finfishaquaculture_opennetpens_d,MODERATE,yes
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_beachseeding_d,MODERATE,yes
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_offbottom_d,NEGLIGIBLE,no
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,MODERATE,yes
S2_NVI_613,eco_plants_eelgrass_polygons_d,hu_rf_demersalfishing_traprec_d_CRAB,MODERATE,yes
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,HIGH,yes
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_aq_finfishaquaculture_opennetpens_d,MODERATE,yes
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_beachseeding_d,MODERATE,yes
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_offbottom_d,NEGLIGIBLE,no
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,MODERATE,yes
S2_NVI_630,eco_plants_eelgrass_polygons_d,hu_rf_demersalfishing_traprec_d_CRAB,MODERATE,yes
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_ot_loghandlingstorageandtransportation_logstorageandhand_d,HIGH,yes
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_aq_finfishaquaculture_opennetpens_d,MODERATE,yes
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_beachseeding_d,MODERATE,yes
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_offbottom_d,NEGLIGIBLE,no
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_co_demersalfishing_inverttrapcom_d_CRAB,MODERATE,yes
S2_NVI_690,eco_plants_eelgrass_polygons_d,hu_rf_demersalfishing_traprec_d_CRAB,MODERATE,yes
S2_CC_122,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_beachseeding_d,MODERATE,yes
S2_CC_122,eco_plants_eelgrass_polygons_d,hu_aq_shellfishaquaculture_offbottom_d,NEGLIGIBLE,no
